time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
10195200.00000000,-9061305333.46042633,81752681612.46141052,-46641232745.78797150,-83753028334.81500244,-159379313959.31338501,99888999274.68341064,-13354626331.72456932,-17232567653.14798737,110632393471.10443115
10281600.00000000,-9167844229.88977623,81393806781.31428528,-45915644807.69468689,-83442348398.12683105,-158657277908.18765259,99876137613.80801392,-13610607371.98338509,-17552528873.12660217,110036307193.88653564
10368000.00000000,-9275118168.63265419,81029908467.97088623,-45183986743.54699707,-83127563614.42019653,-157926226090.37896729,99862627128.98454285,-13869958216.94714737,-17876482377.59190369,109434799614.56231689
10454400.00000000,-9383139583.86843109,80660911711.98733521,-44446198871.18207550,-82808615435.64181519,-157186026594.68130493,99848439624.48574829,-14132724980.48975945,-18204485117.30601883,108827839246.69619751
10540800.00000000,-9491921383.60099602,80286739315.38536072,-43702220276.41979980,-82485443402.03283691,-156436543055.33062744,99833545466.64346313,-14398955214.36617470,-18536596260.05471802,108215394809.77621460
10627200.00000000,-9601476971.99937630,79907311756.05841064,-42951988786.58043671,-82157985056.48858643,-155677634444.01321411,99817913491.22480774,-14668697971.51204109,-18872877312.04518127,107597435295.35551453
10713600.00000000,-9711820273.00237465,79522547097.14343262,-42195440943.77275848,-81826175853.88615417,-154909154849.07275391,99801510903.57283020,-14942003873.11147690,-19213392248.07067108,106973930040.19981384
10800000.00000000,-9822965755.26758766,79132360892.15222168,-41432511978.00543213,-81489949065.01722717,-154130953240.94454956,99784303170.84167480,-15218925179.71519089,-19558207651.20766449,106344848807.16363525
10886400.00000000,-9934928458.55055618,78736666085.64562988,-40663135780.18283081,-81149235674.73275757,-153342873222.75677490,99766253905.58439636,-15499515866.71669197,-19907392862.88883972,105710161874.59832764
10972800.00000000,-10047724021.60567093,78335372909.22352600,-39887244875.05533600,-80803964273.87179565,-152544752764.94152832,99747324739.87030029,-15783831704.52253342,-20261020144.28197098,105069840135.18493652
11059200.00000000,-10161368711.70663643,77928388772.59226990,-39104770394.20442963,-80454060944.50964355,-151736423922.59063721,99727475189.01803589,-16071930343.78372192,-20619164850.00161743,104423855205.18629456
11145600.00000000,-10275879455.89092827,77515618149.46025085,-38315642049.15411377,-80099449138.01907349,-150917712534.17153931,99706662503.92761230,-16363871406.08999634,-20981905615.28868866,103772179545.22639465
